% Model,PSC_Degradation_CsFa_Ions_Degradation_v2.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 6 2026, 11:16"
% Dimension,1
% Nodes,2186
% Expressions,4
% Description,"Conduction band energy level, Valence band energy level, Electron quasi-Fermi energy level, Hole quasi-Fermi energy level"
% x,semi.Ec_e (J),semi.Ev_e (J),semi.Efn_e (J),semi.Efp_e (J)
10.308437541879526,5.299997169272407E-19,1.2814277072407919E-21,-2.2768299373865373E-33,1.5883890493364332E-33
10.832382849144583,5.299997169272407E-19,1.2814277072407919E-21,-2.2768299373865373E-33,1.5883890493364332E-33
10.832382849144583,5.299811541887757E-19,1.262864968775722E-21,-2.7037355506465132E-33,2.077829664538788E-33
11.356328156409642,5.299811541887757E-19,1.262864968775722E-21,-2.7037355506465132E-33,2.077829664538788E-33
11.356328156409642,5.29960501412636E-19,1.2422121926360437E-21,-3.415244906079806E-33,2.572689979909483E-33
11.880273463674701,5.29960501412636E-19,1.2422121926360437E-21,-3.415244906079806E-33,2.572689979909483E-33
11.880273463674701,5.29937517138598E-19,1.2192279185981538E-21,-4.1979051970564286E-33,3.209435266353887E-33
12.404218770939758,5.29937517138598E-19,1.2192279185981538E-21,-4.1979051970564286E-33,3.209435266353887E-33
12.404218770939758,5.299119337149434E-19,1.193644494943478E-21,-5.2651692302063676E-33,3.9834796237295586E-33
12.928164078204821,5.299119337149434E-19,1.193644494943478E-21,-5.2651692302063676E-33,3.9834796237295586E-33
12.928164078204821,5.298834545392049E-19,1.165165319204986E-21,-6.545886069986295E-33,4.8245059165190685E-33
13.452109385469877,5.298834545392049E-19,1.165165319204986E-21,-6.545886069986295E-33,4.8245059165190685E-33
13.452109385469877,5.298517510603861E-19,1.133461840386167E-21,-8.11120665193954E-33,6.022398620393089E-33
13.976054692734937,5.298517510603861E-19,1.133461840386167E-21,-8.11120665193954E-33,6.022398620393089E-33
13.976054692734937,5.298164595316324E-19,1.0981703116324756E-21,-9.961130976066101E-33,7.442360064498047E-33
14.499999999999995,5.298164595316324E-19,1.0981703116324756E-21,-9.961130976066101E-33,7.442360064498047E-33
14.499999999999995,5.29777177504718E-19,1.0588882847180869E-21,-1.2166809977909309E-32,9.171661318211308E-33
15.02394530726505,5.29777177504718E-19,1.0588882847180869E-21,-1.2166809977909309E-32,9.171661318211308E-33
15.02394530726505,5.297334600610178E-19,1.0151708410179055E-21,-1.494169646409915E-32,1.1358579819471803E-32
15.54789061453011,5.297334600610178E-19,1.0151708410179055E-21,-1.494169646409915E-32,1.1358579819471803E-32
15.54789061453011,5.296848157780792E-19,9.665265580792815E-22,-1.8499243241265615E-32,1.393641156620766E-32
16.07183592179517,5.296848157780792E-19,9.665265580792815E-22,-1.8499243241265615E-32,1.393641156620766E-32
16.07183592179517,5.296307024366959E-19,9.12413216695879E-22,-2.2768299373865374E-32,1.7087063930735709E-32
