% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 6 2026, 12:22"
% Table,Table 12 - Global Evaluation 2
% light_on,use_scan,Time (s),Average terminal current density (mA/cm^2)
0,0,0.030399999999999996,3.424701538475211E-7
0,0,0.030499999999999996,3.7852025983176864E-7
0,0,0.0306,3.4177605872417143E-7
0,0,0.030699999999999998,3.6326798648339545E-7
0,0,0.030799999999999998,3.085005491674373E-7
0,0,0.030899999999999997,3.078064726567546E-7
0,0,0.030999999999999996,2.260039043135047E-7
0,0,0.031099999999999996,3.2929896060882717E-7
0,0,0.0312,2.156035426325969E-7
0,0,0.031299999999999994,2.8077095462661376E-7
0,0,0.0314,2.613577993183013E-7
0,0,0.0315,1.525186672378212E-7
0,0,0.031599999999999996,2.197629198268253E-7
0,0,0.0317,1.948067938783231E-7
0,0,0.031799999999999995,2.1005834738099595E-7
0,0,0.0319,2.655178445500337E-7
0,0,0.032,2.253086839628312E-7
0,0,0.0321,2.2114903756535097E-7
0,0,0.0322,2.509595705495041E-7
0,0,0.032299999999999995,1.8440726812663882E-7
0,0,0.0324,1.4904989067719786E-7
0,0,0.032499999999999994,1.455857746357844E-7
0,0,0.0326,1.7400787864449632E-7
0,0,0.0327,2.3154837136897163E-7
0,0,0.032799999999999996,1.8440584513074293E-7
0,0,0.0329,1.6499501258414163E-7
0,0,0.032999999999999995,1.7331485485865656E-7
0,0,0.0331,2.0658999126717597E-7
0,0,0.0332,1.3310631589021594E-7
0,0,0.033299999999999996,8.388533295131667E-8
0,0,0.0334,1.8995247174550257E-7
0,0,0.033499999999999995,5.3380935024067564E-8
0,0,0.0336,7.210013623969485E-8
0,0,0.033699999999999994,1.1369508410503301E-7
0,0,0.0338,1.740073142235437E-7
0,0,0.0339,1.213203961913737E-7
0,0,0.033999999999999996,8.735096304179292E-8
0,0,0.0341,7.348531830108788E-8
0,0,0.034199999999999994,7.695310626439484E-8
0,0,0.0343,9.636285563857568E-8
0,0,0.0344,1.3518531299953186E-7
0,0,0.034499999999999996,5.546122236532125E-8
0,0,0.0346,1.2548019826080588E-7
0,0,0.034699999999999995,7.695192355469281E-8
0,0,0.0348,4.3675515101912266E-8
0,0,0.034899999999999994,2.4958131078866513E-8
0,0,0.034999999999999996,2.0798530112252382E-8
0,0,0.0351,2.6344603120962748E-8
0,0,0.035199999999999995,4.714242434932045E-8
0,0,0.0353,8.04177461787793E-8
0,0,0.035399999999999994,1.2617288216410268E-7
0,0,0.0355,5.060752799043669E-8
0,0,0.0356,1.1854705685002769E-7
0,0,0.035699999999999996,6.44735089473754E-8
0,0,0.0358,2.0797194283377996E-8
0,0,0.035899999999999994,-1.1090556672183723E-8
0,0,0.036,9.774796396079577E-8
0,0,0.0361,8.319153135672691E-8
0,0,0.036199999999999996,7.903128486099336E-8
0,0,0.0363,8.319014029392685E-8
0,0,0.036399999999999995,-3.674241320856274E-8
0,0,0.0365,-1.4557446179372166E-8
0,0,0.036599999999999994,1.3172576353831968E-8
0,0,0.036699999999999997,4.991545858296209E-8
0,0,0.0368,9.497587172591623E-8
0,0,0.036899999999999995,1.4559010098266084E-8
0,0,0.037,7.279139727318846E-8
0,0,0.037099999999999994,5.5463882124963285E-9
0,0,0.0372,7.903196778009462E-8
0,0,0.0373,2.3570661818597344E-8
0,0,0.037399999999999996,-2.4263473586273833E-8
0,0,0.0375,6.655288698017973E-8
0,0,0.037599999999999995,2.981003796350298E-8
0,0,0.0377,-3.0677952159366984E-13
0,0,0.03779999999999999,1.0676134266506975E-7
0,0,0.037899999999999996,8.735070810512502E-8
0,0,0.038,7.20979254906967E-8
0,0,0.038099999999999995,6.100631735289993E-8
0,0,0.0382,5.61537849183676E-8
0,0,0.038299999999999994,5.476711688978325E-8
0,0,0.0384,5.89268121581377E-8
0,0,0.0385,6.655158154619025E-8
0,0,0.038599999999999995,7.833820248390913E-8
0,0,0.0387,9.428245239431473E-8
0,0,0.038799999999999994,-1.941184149818319E-8
0,0,0.0389,3.466701928429349E-9
0,0,0.039,3.119606615508232E-8
0,0,0.039099999999999996,6.100663077795482E-8
0,0,0.0392,-3.8129854931801296E-8
0,0,0.039299999999999995,-1.3849530995288173E-9
0,0,0.0394,3.882198658527322E-8
0,0,0.03949999999999999,-5.0608284263197916E-8
0,0,0.039599999999999996,-4.1590595863837255E-9
0,0,0.0397,4.506098182165743E-8
0,0,0.039799999999999995,-3.396945138199227E-8
0,0,0.0399,1.8718514919039375E-8
0,0,0.039999999999999994,7.556451822744216E-8
0,0,0.0401,2.773678823826078E-9
0,0,0.0402,6.447243051846234E-8
0,0,0.040299999999999996,-4.1587330981126025E-9
0,0,0.0404,6.308588841046569E-8
0,0,0.040499999999999994,-2.0796953081314546E-9
0,0,0.0406,6.863270295338231E-8
0,0,0.04069999999999999,9.70502018783129E-9
0,0,0.040799999999999996,-4.8527413154466924E-8
0,0,0.0409,2.7730059829079174E-8
0,0,0.040999999999999995,-2.6343118614017807E-8
